rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
41,10065984,キャンメイク,ラスティングマルチアイベース WP,化粧下地 / アイシャドウベース,4.9,6829,19370,550円,2013/9/4 (2022/9/30追加発売),https://www.cosme.net/products/10065984/,https://www.cosme.com/products/detail.php?product_id=45359,https://cache-cdn.cosme.net/media/product/10065/skuimg_664361.jpg,data/cosme_makeup_base_ranking_20260616/images/041_10065984.jpg
42,10288272,ポール ＆ ジョー,プロテクティング ヴェール コンパクト,化粧下地 / クッションファンデ,5.1,381,5003,"12g・4,400円 / -・550円 / -・1,650円",2026/3/1,https://www.cosme.net/products/10288272/,https://www.cosme.com/products/detail.php?product_id=400396,https://cache-cdn.cosme.net/media/product/10288/skuimg_1083325.jpg,data/cosme_makeup_base_ranking_20260616/images/042_10288272.jpg
43,10207383,Chacott COSMETICS(チャコット・コスメティクス),ラスティングベース,化粧下地,4.9,1686,13035,"42g・1,760円",2021/4/16 (2026/3/20追加発売),https://www.cosme.net/products/10207383/,https://www.cosme.com/products/detail.php?product_id=227502,https://cache-cdn.cosme.net/media/product/10207/skuimg-d_30855.jpg,data/cosme_makeup_base_ranking_20260616/images/043_10207383.jpg
44,10264858,VDL（ヴィ・ディー・エル）,ＶＤＬ トーン ステイン カラー コレクティング プライマー,化粧下地,5.2,1057,8355,"13ml・1,760円 / 30ml・3,080円",2024/8/31 (2026/2/18追加発売),https://www.cosme.net/products/10264858/,https://www.cosme.com/products/detail.php?product_id=372336,https://cache-cdn.cosme.net/media/product/10264/skuimg_1008122.jpg,data/cosme_makeup_base_ranking_20260616/images/044_10264858.jpg
45,10291982,Fujiko（フジコ）,毛穴おだまり！クリーム,化粧下地,4.6,177,3505,"1,760円",2026/3/24,https://www.cosme.net/products/10291982/,https://www.cosme.com/products/detail.php?product_id=401990,https://cache-cdn.cosme.net/media/product/10291/skuimg_1093747.jpg,data/cosme_makeup_base_ranking_20260616/images/045_10291982.jpg
46,10290150,アディクション,ブラー ＆ ロック プライマー,化粧下地,5.4,127,4084,"30g・5,280円",2026/3/6,https://www.cosme.net/products/10290150/,https://www.cosme.com/products/detail.php?product_id=400412,https://cache-cdn.cosme.net/media/product/10290/skuimg_1088930.jpg,data/cosme_makeup_base_ranking_20260616/images/046_10290150.jpg
47,10220597,プリマヴィスタ,プリマヴィスタ スキンプロテクトベース<皮脂くずれ防止> 超オイリー肌用,化粧下地,5.2,1419,7499,"25ml・3,080円 (編集部調べ)",2022/5/21,https://www.cosme.net/products/10220597/,https://www.cosme.com/products/detail.php?product_id=258196,https://cache-cdn.cosme.net/media/product/10220/skuimg-d_55180.jpg,data/cosme_makeup_base_ranking_20260616/images/047_10220597.jpg
48,10272521,ディオール,プレステージ ホワイト ル プロテクター UV ルミエール（BB）,日焼け止め・UVケア(顔用) / 化粧下地 / BBクリーム,5.7,357,4191,"30ml・15,950円",2025/2/21,https://www.cosme.net/products/10272521/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10272521?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10272/skuimg_1035678.jpg,data/cosme_makeup_base_ranking_20260616/images/048_10272521.jpg
49,10289129,ビオレ,ビオレUV アクアリッチ エアリーホールドクリーム,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,4.5,245,2811,70g (オープン価格),2026/2/7,https://www.cosme.net/products/10289129/,https://www.cosme.com/products/detail.php?product_id=398660,https://cache-cdn.cosme.net/media/product/10289/skuimg_1083667.jpg,data/cosme_makeup_base_ranking_20260616/images/049_10289129.jpg
50,10204027,クレ・ド・ポー ボーテ,ヴォワールマティフィアンリサン,化粧下地,5.4,2133,17103,"40g・8,250円",2021/3/21,https://www.cosme.net/products/10204027/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10204027?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10204/skuimg_794660.jpg,data/cosme_makeup_base_ranking_20260616/images/050_10204027.jpg
