rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
17,10288272,ポール ＆ ジョー,プロテクティング ヴェール コンパクト,化粧下地 / クッションファンデ,5.1,381,5003,"12g・4,400円 / -・550円 / -・1,650円",2026/3/1,https://www.cosme.net/products/10288272/,https://www.cosme.com/products/detail.php?product_id=400396,https://cache-cdn.cosme.net/media/product/10288/skuimg_1083325.jpg,outputs/cosme_foundation_ranking_20260616/images/017_10288272.jpg
18,10257889,HERA,ブラック クッション ファンデーション,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.5,1044,8950,"15g・6,380円",2024/8/30 (2025/10/3追加発売),https://www.cosme.net/products/10257889/,https://www.cosme.com/products/detail.php?product_id=343812,https://cache-cdn.cosme.net/media/product/10257/skuimg_984087.jpg,outputs/cosme_foundation_ranking_20260616/images/018_10257889.jpg
19,10257597,M・A・C,スタジオ フィックス ロングウエア クッション ファンデーション SPF 50,クッションファンデ,5.5,569,5429,"13g・7,700円 / -・5,830円 / -・7,700円",2024/6/7 (2026/3/6追加発売),https://www.cosme.net/products/10257597/,https://www.cosme.com/products/detail.php?product_id=333804,https://cache-cdn.cosme.net/media/product/10257/skuimg_1039748.jpg,outputs/cosme_foundation_ranking_20260616/images/019_10257597.jpg
20,10266040,プラダ ビューティ,プラダ メッシュ クッション,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.8,1000,12887,"12g（リフィル）・7,370円 / 12g（ケース付き）・11,330円",2025/1/29 (2025/3/5追加発売),https://www.cosme.net/products/10266040/,https://www.cosme.com/products/detail.php?product_id=355536,https://cache-cdn.cosme.net/media/product/10266/skuimg_1012002.jpg,outputs/cosme_foundation_ranking_20260616/images/020_10266040.jpg
21,10257601,コスメデコルテ,ゼン ウェア グロウ,リキッドファンデーション,5.4,2349,22001,"30ml・7,700円",2024/8/21 (2025/9/16追加発売),https://www.cosme.net/products/10257601/,https://www.cosme.com/products/detail.php?product_id=335920,https://cache-cdn.cosme.net/media/product/10257/skuimg_983257.jpg,outputs/cosme_foundation_ranking_20260616/images/021_10257601.jpg
22,10272521,ディオール,プレステージ ホワイト ル プロテクター UV ルミエール（BB）,日焼け止め・UVケア(顔用) / 化粧下地 / BBクリーム,5.7,357,4190,"30ml・15,950円",2025/2/21,https://www.cosme.net/products/10272521/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10272521?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10272/skuimg_1035678.jpg,outputs/cosme_foundation_ranking_20260616/images/022_10272521.jpg
23,10265327,ジバンシイ,プリズム･リーブル･グロウ･セラム･ファンデーション,リキッドファンデーション,5.5,2383,15405,"30ml・8,030円",2025/2/1,https://www.cosme.net/products/10265327/,https://www.cosme.com/products/detail.php?product_id=356526,https://cache-cdn.cosme.net/media/product/10265/skuimg_1012083.jpg,outputs/cosme_foundation_ranking_20260616/images/023_10265327.jpg
24,10219394,NARS,ライトリフレクティング ファンデーション,リキッドファンデーション,5.4,3803,74229,"30ml・7,480円",2022/4/8 (2024/7/12追加発売),https://www.cosme.net/products/10219394/,https://www.cosme.com/products/detail.php?product_id=256214,https://cache-cdn.cosme.net/media/product/10219/skuimg-d_52483.jpg,outputs/cosme_foundation_ranking_20260616/images/024_10219394.jpg
25,10276316,RMK,RMK リクイドファンデーション フローレスカバレッジ プラス,リキッドファンデーション,5.5,553,6501,"30mL・6,600円",2025/9/5,https://www.cosme.net/products/10276316/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10276316?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10276/skuimg_1047294.jpg,outputs/cosme_foundation_ranking_20260616/images/025_10276316.jpg
26,10290151,アディクション,ザ ファンデーション コンフィデント フィックス,リキッドファンデーション,5.3,126,1708,"30ml・6,600円",2026/3/6,https://www.cosme.net/products/10290151/,https://www.cosme.com/products/detail.php?product_id=400440,https://cache-cdn.cosme.net/media/product/10290/skuimg_1088939.jpg,outputs/cosme_foundation_ranking_20260616/images/026_10290151.jpg
