rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
26,10270078,アネッサ,パーフェクトUV ブラッシュオンパウダー,日焼け止め・UVケア(顔用) / ルースパウダー,4.8,404,5595,"3g・2,442円 / 3g・3,498円 (編集部調べ)",2025/2/21 (2026/2/21追加発売),https://www.cosme.net/products/10270078/,https://www.cosme.com/products/detail.php?product_id=399780,https://cache-cdn.cosme.net/media/product/10270/skuimg_1086334.jpg,data/cosme_face_powder_ranking_20260616/images/026_10270078.jpg
27,10259470,Chacott COSMETICS(チャコット・コスメティクス),チャコット コンプレクションクリエイターＮ,プレストパウダー,4.7,925,11152,"1,760円 / 2,200円 / 2,750円",2024/8/2 (2026/4/14追加発売),https://www.cosme.net/products/10259470/,https://www.cosme.com/products/detail.php?product_id=391867,https://cache-cdn.cosme.net/media/product/10259/skuimg_1098949.jpg,data/cosme_face_powder_ranking_20260616/images/027_10259470.jpg
28,10276627,ジバンシイ,プリズム・リーブル・プレストパウダー,プレストパウダー,5.6,818,7918,"7g・7,700円 / 7g・7,920円",2025/8/13 (2026/3/1追加発売),https://www.cosme.net/products/10276627/,https://www.cosme.com/products/detail.php?product_id=377342,https://cache-cdn.cosme.net/media/product/10276/skuimg_1048347.jpg,data/cosme_face_powder_ranking_20260616/images/028_10276627.jpg
29,10244352,muice,スポットメンテパウダー,プレストパウダー,4.9,2088,16464,"3.8g・1,045円",2023/7/28 (2025/12/1追加発売),https://www.cosme.net/products/10244352/,https://www.cosme.com/products/detail.php?product_id=305379,https://cache-cdn.cosme.net/media/product/10244/skuimg_935274.jpg,data/cosme_face_powder_ranking_20260616/images/029_10244352.jpg
30,336361,M・A・C,M?A?C ミネラライズ スキンフィニッシュ,パウダーアイシャドウ / パウダーチーク / プレストパウダー,5.4,7037,43516,"5,940円",2008年10月 (2014/7/3追加発売),https://www.cosme.net/products/336361/,https://www.cosme.com/products/detail.php?product_id=124447,https://cache-cdn.cosme.net/media/product/336/skuimg_1030940.jpg,data/cosme_face_powder_ranking_20260616/images/030_336361.jpg
31,10294913,スノービューティー,スノービューティー ブライトニング スキンケアパウダー,その他スキンケア / プレストパウダー,5.7,197,3828,"25g(レフィル)・4,730円 / 25g・7,700円 (編集部調べ)",2026/7/21 NEW,https://www.cosme.net/products/10294913/,https://www.cosme.com/products/detail.php?product_id=410429,https://cache-cdn.cosme.net/media/product/10294/skuimg_1103202.jpg,data/cosme_face_powder_ranking_20260616/images/031_10294913.jpg
32,10264646,KANEBO,カネボウ クリスタライズドフィックスパウダー,プレストパウダー,5.3,1198,17897,"7,150円",2025/2/7,https://www.cosme.net/products/10264646/,https://www.cosme.com/products/detail.php?product_id=356462,https://cache-cdn.cosme.net/media/product/10264/skuimg_1007571.jpg,data/cosme_face_powder_ranking_20260616/images/032_10264646.jpg
33,10250984,SHEGLAM,サンスカルプ リキッドシェーディング,プレストパウダー,4.9,1039,6447,5.2ml・880円,2023/11/24 (2025/6/4追加発売),https://www.cosme.net/products/10250984/,https://www.cosme.com/products/detail.php?product_id=318584,https://cache-cdn.cosme.net/media/product/10250/skuimg_960440.jpg,data/cosme_face_powder_ranking_20260616/images/033_10250984.jpg
34,10239717,ByUR,セラムフィット ルースフェイスパウダー,ルースパウダー,5.1,816,6479,"10g・2,090円",2023/5/18 (2024/3/15追加発売),https://www.cosme.net/products/10239717/,https://www.cosme.com/products/detail.php?product_id=296901,https://cache-cdn.cosme.net/media/product/10239/skuimg-d_91146.jpg,data/cosme_face_powder_ranking_20260616/images/034_10239717.jpg
35,10294495,花西子,玉容桃花ルースパウダー UV,ルースパウダー,6.0,366,1847,"8.5g・5,060円",2026/4/10,https://www.cosme.net/products/10294495/,https://www.cosme.com/products/detail.php?product_id=406540,https://cache-cdn.cosme.net/media/product/10294/skuimg_1104029.jpg,data/cosme_face_powder_ranking_20260616/images/035_10294495.jpg
36,10215418,キャンメイク,マシュマロフィニッシュパウダー 〜Abloom〜,プレストパウダー,4.8,3083,14704,"4g(リフィル)・770円 / 4g・1,034円 / -・770円 / -・880円 / -・1,034円",2021/11/30 (2023/3/31追加発売),https://www.cosme.net/products/10215418/,https://www.cosme.com/products/detail.php?product_id=258064,https://cache-cdn.cosme.net/media/product/10215/skuimg_903807.jpg,data/cosme_face_powder_ranking_20260616/images/036_10215418.jpg
37,10251864,Enamor,ジュエリーグロウハイライター,プレストパウダー,5.5,164,2834,"4.95g・2,420円",2024/2/1 (2026/3/25追加発売),https://www.cosme.net/products/10251864/,https://www.cosme.com/products/detail.php?product_id=399468,https://cache-cdn.cosme.net/media/product/10251/skuimg_1097040.jpg,data/cosme_face_powder_ranking_20260616/images/037_10251864.jpg
38,10163124,コスメデコルテ,フェイスパウダー,ルースパウダー,5.4,15012,96635,"20g・5,500円",2019/1/16 (2021/9/16追加発売),https://www.cosme.net/products/10163124/,,https://cache-cdn.cosme.net/media/product/10163/skuimg_683936.jpg,data/cosme_face_powder_ranking_20260616/images/038_10163124.jpg
39,10204888,THREE,アドバンスドエシリアルスムースオペレーター ルースパウダー,ルースパウダー,5.3,1279,18271,"10g・6,050円 / -・6,050円",2021/2/24 (2023/10/25追加発売),https://www.cosme.net/products/10204888/,https://www.cosme.com/products/detail.php?product_id=289821,https://cache-cdn.cosme.net/media/product/10204/skuimg-d_26368.jpg,data/cosme_face_powder_ranking_20260616/images/039_10204888.jpg
40,10207381,Chacott COSMETICS(チャコット・コスメティクス),フィニッシングパウダー モイスト,ルースパウダー,4.9,1366,8700,"20g・1,980円",2021/4/16 (2024/8/2追加発売),https://www.cosme.net/products/10207381/,https://www.cosme.com/products/detail.php?product_id=227512,https://cache-cdn.cosme.net/media/product/10207/skuimg-d_30839.jpg,data/cosme_face_powder_ranking_20260616/images/040_10207381.jpg
41,10277351,エテュセ,エテュセ スキンケアパウダー （プレスト） シアーベージュ,その他スキンケア / プレストパウダー,5.0,361,2825,"6.5g(レフィル)・2,090円 / 6.5g・2,640円",2025/9/18,https://www.cosme.net/products/10277351/,https://www.cosme.com/products/detail.php?product_id=377106,https://cache-cdn.cosme.net/media/product/10277/skuimg_1051285.jpg,data/cosme_face_powder_ranking_20260616/images/041_10277351.jpg
42,10164074,セザンヌ,UVシルクカバーパウダー,プレストパウダー,5.0,1404,14197,10g(詰替)・616円 / 10g・748円,2019/1/23 (2020/4/14追加発売),https://www.cosme.net/products/10164074/,https://www.cosme.com/products/detail.php?product_id=155146,https://cache-cdn.cosme.net/media/product/10164/skuimg_764790.jpg,data/cosme_face_powder_ranking_20260616/images/042_10164074.jpg
43,10254608,Wonjungyo,ウォンジョンヨ フィクシングブラーパウダー N,ルースパウダー,5.2,1047,12182,"13g・2,420円 / 13?・2,530円 / 13g・2,530円",2024/4/24 (2026/5/27追加発売) NEW,https://www.cosme.net/products/10254608/,https://www.cosme.com/products/detail.php?product_id=324664,https://cache-cdn.cosme.net/media/product/10254/skuimg_971311.jpg,data/cosme_face_powder_ranking_20260616/images/043_10254608.jpg
44,10188735,イプサ,スキンケアパウダー,その他スキンケア / プレストパウダー,5.5,1927,13388,"25g(レフィル)・4,840円 / 25g・5,940円",2020/3/6 (2023/1/24追加発売),https://www.cosme.net/products/10188735/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10188735?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10188/skuimg-d_6007.jpg,data/cosme_face_powder_ranking_20260616/images/044_10188735.jpg
45,10276764,エクセル,エクストラリッチ セラムインパウダー,ルースパウダー,5.1,538,4368,"17g・2,640円",2025/9/16 (2025/11/11追加発売),https://www.cosme.net/products/10276764/,https://www.cosme.com/products/detail.php?product_id=381211,https://cache-cdn.cosme.net/media/product/10276/skuimg_1049269.jpg,data/cosme_face_powder_ranking_20260616/images/045_10276764.jpg
46,10258108,エテュセ,エテュセ スキンケアパウダー （プレスト）,その他スキンケア / プレストパウダー,5.1,1083,8442,"7g(レフィル)・2,090円 / 7g・2,640円",2024/9/19,https://www.cosme.net/products/10258108/,https://www.cosme.com/products/detail.php?product_id=341210,https://cache-cdn.cosme.net/media/product/10258/skuimg_1002232.jpg,data/cosme_face_powder_ranking_20260616/images/046_10258108.jpg
47,10239397,スノービューティー,スノービューティー ブライトニング スキンケアパウダーA,その他スキンケア / プレストパウダー,5.7,1118,16501,"25g(レフィル)・4,400円 / 25g(レフィル)・4,510円 / 25g・7,150円 / 25g・7,370円 (編集部調べ)",2023/7/21 (2025/7/21追加発売),https://www.cosme.net/products/10239397/,https://www.cosme.com/products/detail.php?product_id=373976,https://cache-cdn.cosme.net/media/product/10239/skuimg_1042593.jpg,data/cosme_face_powder_ranking_20260616/images/047_10239397.jpg
48,10265824,メイクアップフォーエバー,HDスキン ルースパウダー,ルースパウダー,5.6,299,2126,"4g・3,190円 / 8.5g・5,720円",2025/1/1,https://www.cosme.net/products/10265824/,https://www.cosme.com/products/detail.php?product_id=355246,https://cache-cdn.cosme.net/media/product/10265/skuimg_1011811.jpg,data/cosme_face_powder_ranking_20260616/images/048_10265824.jpg
49,10289552,セザンヌ,毛穴レスフィックスパウダー,プレストパウダー,4.5,114,1215,858円,2026/3/4,https://www.cosme.net/products/10289552/,https://www.cosme.com/products/detail.php?product_id=402232,https://cache-cdn.cosme.net/media/product/10289/skuimg_1086366.jpg,data/cosme_face_powder_ranking_20260616/images/049_10289552.jpg
50,10212665,セザンヌ,ナチュラルマットシェーディング,プレストパウダー,4.8,1909,5174,693円,2021/11/1,https://www.cosme.net/products/10212665/,https://www.cosme.com/products/detail.php?product_id=239579,https://cache-cdn.cosme.net/media/product/10212/skuimg-d_40048.jpg,data/cosme_face_powder_ranking_20260616/images/050_10212665.jpg
